url,city,state,street-address,zipcode,beds,baths,sqft,lotsize,price,property-type,time-on-realtor,hoa,price/sqft,garage,year,median_listing_home_price,median_sold_home_price,median_days_on_market,median_listing_home_price_persqft,school_district,broker
/realestateandhomes-detail/1733-Francisco-St-Apt-D_Berkeley_CA_94703_M29123-63721,Berkeley,CA,1733 Francisco St Apt D,94703,3,1.5,"1,160sqft","7,325sqft lot","$975,000 ",Townhome,1 Day,$275/mo,$841 ,1 car,1969,"$1,425,000 ","$1,400,000 ",37,$766 ,Berkeley (510) 644-6150,-
/realestateandhomes-detail/2635-Mathews-St_Berkeley_CA_94702_M26753-89592,Berkeley,CA,2635 Mathews St,94702,3,2,"1,235sqft","2,120sqft lot","$1,170,000 ",Single Family,2 Days,,$947 ,1 car,1912,"$1,095,000 ","$1,237,500 ",34,$860 ,-,-
/realestateandhomes-detail/2423-Grant-St_Berkeley_CA_94703_M27691-50703,Berkeley,CA,2423 Grant St,94703,2,1,620sqft,"2,600sqft lot","$849,000 ",Single Family,2 Days,,"$1,369 ",,1910,"$1,425,000 ","$1,400,000 ",37,$766 ,-,-
/realestateandhomes-detail/2322-8th-St_Berkeley_CA_94710_M27738-46212,Berkeley,CA,2322 Eighth St,94710,2,2,"1,144sqft","3,240sqft lot","$959,000 ",Single Family,2 Days,,$838 ,,1907,"$1,095,000 ","$1,237,500 ",34,$860 ,-,COMPASS
/realestateandhomes-detail/2512-9th-St-Ste-10_Berkeley_CA_94710_M91139-66667,Berkeley,CA,2512 9th St Ste 10,94710,1,1,"1,244sqft","1,073sqft lot","$850,000 ",Condo,2 Days,$276/mo,$683 ,,1925,"$1,095,000 ","$1,237,500 ",34,$860 ,Berkeley (510) 644-6150,Golden Gate Sotheby's International Realty
/realestateandhomes-detail/2444-Virginia-St-Apt-B_Berkeley_CA_94709_M15203-95168,Berkeley,CA,2444 Virginia St Apt B,94709,2,2,900sqft,0.29acre lot,"$775,000 ",Condo,2 Days,$300/mo,$861 ,1 car,1932,"$948,500 ","$965,000 ",41,$975 ,Berkeley (510) 644-6150,-
/realestateandhomes-detail/1246-Hopkins-St_Berkeley_CA_94702_M10680-98120,Berkeley,CA,1246 Hopkins St,94702,2,2,"1,391sqft","3,360sqft lot","$1,195,000 ",Single Family,2 Days,,$859 ,,1935,"$1,095,000 ","$1,237,500 ",34,$860 ,Berkeley (510) 644-6150,-
/realestateandhomes-detail/2211-McKinley-Ave_Berkeley_CA_94703_M28684-27174,Berkeley,CA,2211 McKinley Ave,94703,3,2,"1,507sqft","5,200sqft lot","$1,475,000 ",Single Family,2 Days,,$979 ,1 car,1919,"$1,425,000 ","$1,400,000 ",37,$766 ,Berkeley (510) 644-6150,Coldwell Banker Realty
/realestateandhomes-detail/680-Vincente-Ave_Berkeley_CA_94707_M12801-04067,Berkeley,CA,680 Vincente Ave,94707,6,6,"4,269sqft","6,175sqft lot","$2,691,000 ",Single Family,2 Days,,$630 ,1 car,1923,"$1,095,000 ","$1,495,000 ",37,$862 ,Berkeley (510) 644-6150,-
/realestateandhomes-detail/20-Brookside-Ave_Berkeley_CA_94705_M14181-74384,Berkeley,CA,20 Brookside Ave,94705,3,3,"3,472sqft","6,222sqft lot","$3,195,000 ",Single Family,2 Days,,$920 ,1 car,1916,"$1,495,000 ","$1,550,000 ",42,$691 ,-,-
/realestateandhomes-detail/1635-Scenic-Ave-Apt-3_Berkeley_CA_94709_M29391-20667,Berkeley,CA,1635 Scenic Ave Apt 3,94709,2,1,"1,056sqft","6,151sqft lot","$885,000 ",Condo,2 Days,$662/mo,$838 ,1 car,1925,"$948,500 ","$965,000 ",41,$975 ,-,-
/realestateandhomes-detail/2708-Prince-St_Berkeley_CA_94705_M25081-77308,Berkeley,CA,2708 Prince St,94705,2,1,"1,060sqft","4,375sqft lot","$1,250,000 ",Single Family,2 Days,,"$1,179 ",1 car,1921,"$1,495,000 ","$1,550,000 ",42,$691 ,Berkeley (510) 644-6150,-
/realestateandhomes-detail/2329-7th-St_Berkeley_CA_94710_M28223-66469,Berkeley,CA,2329 Seventh St,94710,3,2,"1,293sqft","5,400sqft lot","$1,195,000 ",Single Family,7 Days,,$924 ,,1916,"$1,095,000 ","$1,237,500 ",34,$860 ,-,-
/realestateandhomes-detail/1281-Berkeley-Way_Berkeley_CA_94702_M28568-74732,Berkeley,CA,1281 Berkeley Way,94702,4,2.5,"1,814sqft","4,120sqft lot","$1,088,000 ",Single Family,8 Days,,$600 ,1 car,1941,"$1,095,000 ","$1,237,500 ",34,$860 ,-,-
/realestateandhomes-detail/1034-Amito-Dr_Berkeley_CA_94705_M24005-57364,Berkeley,CA,1034 Amito Dr,94705,5,4.5,"4,155sqft","6,713sqft lot","$3,950,000 ",Single Family,8 Days,,$951 ,2 cars,2022,"$1,495,000 ","$1,550,000 ",42,$691 ,Oakland (510) 879-8111,-
/realestateandhomes-detail/906-Addison-St_Berkeley_CA_94710_M28051-86870,Berkeley,CA,906 Addison St,94710,3,1,"1,290sqft","4,500sqft lot","$995,000 ",Single Family,8 Days,,$771 ,,1944,"$1,095,000 ","$1,237,500 ",34,$860 ,-,-
/realestateandhomes-detail/1507-Tyler-St_Berkeley_CA_94703_M25695-91581,Berkeley,CA,1507 Tyler St,94703,3,2.5,"1,328sqft","3,375sqft lot","$1,098,000 ",Single Family,8 Days,,$827 ,,1924,"$1,048,000 ","$1,285,000 ",49,$809 ,Berkeley (510) 644-6150,COMPASS
/realestateandhomes-detail/1732-Carleton-St_Berkeley_CA_94703_M27172-39246,Berkeley,CA,1732 Carleton St,94703,4,2,"1,804sqft","4,800sqft lot","$1,120,000 ",Single Family,9 Days,,$621 ,,1906,"$1,048,000 ","$1,285,000 ",49,$809 ,-,-
/realestateandhomes-detail/1744-McGee-Ave_Berkeley_CA_94703_M29126-24582,Berkeley,CA,1744 McGee Ave,94703,3,1,"1,236sqft","3,000sqft lot","$1,099,000 ",Single Family,9 Days,,$889 ,2 cars,1916,"$1,425,000 ","$1,400,000 ",37,$766 ,Berkeley (510) 644-6150,-
/realestateandhomes-detail/1514-Blake-St_Berkeley_CA_94703_M26703-58690,Berkeley,CA,1514 Blake St,94703,3,3,"1,685sqft","5,300sqft lot","$1,249,000 ",Single Family,9 Days,,$741 ,1 car,1925,"$1,048,000 ","$1,285,000 ",49,$809 ,-,-
/realestateandhomes-detail/1109-Woodside-Rd_Berkeley_CA_94708_M14103-48536,Berkeley,CA,1109 Woodside Rd,94708,3,2,"1,727sqft","5,616sqft lot","$1,495,000 ",Single Family,9 Days,$27/mo,$866 ,2 cars,1953,"$1,695,000 ","$2,145,474 ",35,$774 ,Berkeley Unified,-
/realestateandhomes-detail/2922-Stanton-St_Berkeley_CA_94702_M25286-80118,Berkeley,CA,2922 Stanton St,94702,4,-,"2,500sqft","4,000sqft lot","$1,399,000 ",Multi-Family,9 Days,,$560 ,,1954,"$1,095,000 ","$1,237,500 ",34,$860 ,Berkeley Unified,-
/realestateandhomes-detail/7164-Buckingham-Blvd_Berkeley_CA_94705_M21958-88711,Berkeley,CA,7164 Buckingham Blvd,94705,3,3,"2,904sqft","6,336sqft lot","$1,595,000 ",Single Family,9 Days,,$549 ,2 cars,2002,"$1,495,000 ","$1,550,000 ",42,$691 ,Oakland (510) 879-8111,Village Associates Real Estate
/realestateandhomes-detail/570-Woodmont-Ave_Berkeley_CA_94708_M13396-55043,Berkeley,CA,570 Woodmont Ave,94708,3,2.5,"2,663sqft","8,800sqft lot","$1,695,000 ",Single Family,9 Days,,$637 ,2 cars,1921,"$1,525,000 ","$2,010,000 ",38,$670 ,Berkeley (510) 644-6150,-
/realestateandhomes-detail/21-Live-Oak-Rd_Berkeley_CA_94705_M21764-73155,Berkeley,CA,21 Live Oak Rd,94705,4,3.5,"4,617sqft","9,739sqft lot","$2,495,000 ",Single Family,9 Days,,$540 ,2 cars,2000,"$1,495,000 ","$1,550,000 ",42,$691 ,Oakland (510) 879-8111,-
/realestateandhomes-detail/1306-Evelyn-Ave_Berkeley_CA_94702_M91518-27311,Berkeley,CA,1306 Evelyn Ave,94702,3,1,"1,268sqft","3,800sqft lot","$1,050,000 ",Single Family,9 Days,,$828 ,,1916,"$1,095,000 ","$1,237,500 ",34,$860 ,-,COMPASS
/realestateandhomes-detail/84-Plaza-Dr_Berkeley_CA_94705_M13716-66488,Berkeley,CA,84 Plaza Dr,94705,3,2,"1,697sqft","5,750sqft lot","$1,750,000 ",Single Family,9 Days,,"$1,031 ",1 car,1910,"$1,495,000 ","$1,550,000 ",42,$691 ,Berkeley (510) 644-6150,-
/realestateandhomes-detail/1616-Prince-St_Berkeley_CA_94703_M15527-96882,Berkeley,CA,1616 Prince St,94703,6,-,"2,634sqft",-,"$1,300,000 ",Multi-Family,9 Days,,$494 ,,1939,"$1,048,000 ","$1,285,000 ",49,$809 ,-,-
/realestateandhomes-detail/2929-Piedmont-Ave_Berkeley_CA_94705_M25686-97199,Berkeley,CA,2929 Piedmont Ave,94705,3,2,"1,915sqft","4,026sqft lot","$1,775,000 ",Single Family,9 Days,,$927 ,,1910,"$1,495,000 ","$1,550,000 ",42,$691 ,-,-
/realestateandhomes-detail/1734-Cedar-St_Berkeley_CA_94703_M29593-18808,Berkeley,CA,1734 Cedar St,94703,4,3.5,"2,143sqft","3,800sqft lot","$1,995,000 ",Single Family,9 Days,,$931 ,,1908,"$1,425,000 ","$1,400,000 ",37,$766 ,Berkeley (510) 644-6150,-
/realestateandhomes-detail/1820-9th-St_Berkeley_CA_94710_M28757-68565,Berkeley,CA,1820 9th St,94710,4,3,"1,917sqft","3,250sqft lot","$995,000 ",Single Family,10 Days,,$519 ,,1908,"$1,095,000 ","$1,237,500 ",34,$860 ,-,-
/realestateandhomes-detail/1823-62nd-St_Berkeley_CA_94703_M24763-52193,Berkeley,CA,1823 62nd St,94703,7,5,"3,965sqft","5,400sqft lot","$1,995,000 ",Single Family,10 Days,,$503 ,1 car,1944,"$1,048,000 ","$1,285,000 ",49,$809 ,-,-
/realestateandhomes-detail/2800-Woolsey-St_Berkeley_CA_94705_M25113-82179,Berkeley,CA,2800 Woolsey St,94705,4,3.5,"3,254sqft","7,800sqft lot","$2,395,000 ",Single Family,10 Days,,$736 ,1 car,1907,"$1,495,000 ","$1,550,000 ",42,$691 ,-,-
/realestateandhomes-detail/1625-San-Lorenzo-Ave_Berkeley_CA_94707_M12944-88721,Berkeley,CA,1625 San Lorenzo Ave,94707,2,2,"1,153sqft","4,100sqft lot","$1,199,000 ",Single Family,14 Days,,"$1,040 ",1 car,1925,"$1,095,000 ","$1,495,000 ",37,$862 ,-,-
/realestateandhomes-detail/2214-Browning-St_Berkeley_CA_94702_M28339-56177,Berkeley,CA,2214 Browning St,94702,3,2,"1,560sqft","3,840sqft lot","$1,249,000 ",Single Family,14 Days,,$801 ,,1918,"$1,095,000 ","$1,237,500 ",34,$860 ,Berkeley (510) 644-6150,-
/realestateandhomes-detail/1436-67th-St_Berkeley_CA_94702_M25118-66636,Berkeley,CA,1436 67th St,94702,3,2,"2,072sqft","5,000sqft lot","$1,150,000 ",Single Family,15 Days,,$555 ,,1916,"$1,095,000 ","$1,237,500 ",34,$860 ,Berkeley (510) 644-6150,COMPASS
/realestateandhomes-detail/2292-Ashby-Ave_Berkeley_CA_94705_M25512-94003,Berkeley,CA,2292 Ashby Ave,94705,2,1,"1,108sqft","2,790sqft lot","$977,000 ",Single Family,15 Days,,$882 ,1 car,1924,"$1,048,000 ","$1,285,000 ",49,$809 ,-,-
/realestateandhomes-detail/260-Alvarado-Rd_Berkeley_CA_94705_M21770-32144,Berkeley,CA,260 Alvarado Rd,94705,4,2.5,"2,388sqft",0.25acre lot,"$1,899,000 ",Single Family,16 Days,,$795 ,2 cars,1995,"$1,495,000 ","$1,550,000 ",42,$691 ,-,COMPASS
/realestateandhomes-detail/3367-Dwight-Way_Berkeley_CA_94704_M22065-84036,Berkeley,CA,3367 Dwight Way,94704,-,-,"3,785sqft",0.58acre lot,"$2,399,000 ",Multi-Family,16 Days,,$634 ,7 cars,1957,"$899,000 ","$900,000 ",36,$818 ,-,COMPASS
/realestateandhomes-detail/2217-Parker-St_Berkeley_CA_94704_M27064-32122,Berkeley,CA,2217 Parker St,94704,-,-,"2,651sqft","6,750sqft lot","$1,895,000 ",Multi-Family,16 Days,,$715 ,4 cars,1887,"$1,048,000 ","$1,285,000 ",49,$809 ,Berkeley (510) 644-6150,-
/realestateandhomes-detail/2217-Parker-St_Berkeley_CA_94704_M27064-32122,Berkeley,CA,2217 Parker St,94704,-,-,"2,651sqft","6,750sqft lot","$1,895,000 ",Multi-Family,16 Days,,$715 ,4 cars,1887,"$1,048,000 ","$1,285,000 ",49,$809 ,Berkeley (510) 644-6150,-
/realestateandhomes-detail/1206-Evelyn-Ave_Berkeley_CA_94706_M10802-84083,Berkeley,CA,1206 Evelyn Ave,94706,2,1,969sqft,"3,800sqft lot","$895,000 ",Single Family,17 Days,,$924 ,,1926,"$1,095,000 ","$1,237,500 ",34,$860 ,-,-
/realestateandhomes-detail/990-Euclid-Ave_Berkeley_CA_94708_M13651-44948,Berkeley,CA,990 Euclid Ave,94708,4,3.5+,"3,036sqft","6,250sqft lot","$2,300,000 ",Single Family,17 Days,,$758 ,,1913,"$1,695,000 ","$2,145,474 ",35,$774 ,-,-
/realestateandhomes-detail/850-Cragmont-Ave_Berkeley_CA_94708_M12952-34040,Berkeley,CA,850 Cragmont Ave,94708,4,4,"3,549sqft","7,540sqft lot","$1,995,000 ",Single Family,17 Days,,$562 ,2 cars,1929,"$1,525,000 ","$2,010,000 ",38,$670 ,-,Golden Gate Sotheby's International Realty
/realestateandhomes-detail/1760-Marin-Ave_Berkeley_CA_94707_M12360-55723,Berkeley,CA,1760 Marin Ave,94707,2,2,"1,449sqft","7,450sqft lot","$1,350,000 ",Single Family,17 Days,,$932 ,2 cars,1924,"$1,350,000 ",,,$893 ,Berkeley (510) 644-6150,-
/realestateandhomes-detail/2616-Etna-St_Berkeley_CA_94704_M27116-86620,Berkeley,CA,2616 Etna St,94704,3,2.5,"2,929sqft","6,075sqft lot","$2,495,000 ",Single Family,17 Days,,$852 ,,1906,"$1,495,000 ","$1,550,000 ",42,$691 ,-,Better Homes and Gardens Real Estate Reliance Partners
/realestateandhomes-detail/217-Gravatt-Dr_Berkeley_CA_94705_M21816-53121,Berkeley,CA,217 Gravatt Dr,94705,5,3.5,"3,655sqft","7,592sqft lot","$2,950,000 ",Single Family,18 Days,,$807 ,2 cars,1993,"$1,495,000 ","$1,550,000 ",42,$691 ,-,-
/realestateandhomes-detail/1215-San-Pablo-Ave_Berkeley_CA_94706_M10665-32950,Berkeley,CA,1215 San Pablo Ave,94706,3,2,862sqft,"2,500sqft lot","$849,000 ",Single Family,18 Days,,$985 ,,1946,"$1,095,000 ","$1,237,500 ",34,$860 ,-,-
/realestateandhomes-detail/Panoramic-Pl_Berkeley_CA_94704_M98332-67444,Berkeley,CA,Panoramic Pl,94704,-,-,-,"5,312sqft lot","$199,000 ",Land,4 Days,,,,,,,,,Berkeley Unified,CENTURY 21 Real Estate Alliance
/realestateandhomes-detail/2503-Regent-St_Berkeley_CA_94704_M27539-46199,Berkeley,CA,2503 Regent St,94704,5,-,"2,914sqft","3,821sqft lot","$1,395,000 ",Multi-Family,19 Days,,$479 ,3 cars,1899,"$1,495,000 ","$1,550,000 ",42,$691 ,-,Winkler Real Estate Group
/realestateandhomes-detail/1721-Berkeley-Way-Apt-9_Berkeley_CA_94703_M28949-23259,Berkeley,CA,1721 Berkeley Way Apt 9,94703,2,1,805sqft,-,"$639,000 ",Condo,8 Days,$250/mo,$794 ,,1962,"$1,425,000 ","$1,400,000 ",37,$766 ,Berkeley Unified,-
/realestateandhomes-detail/1407-Hearst-Ave_Berkeley_CA_94702_M28351-48688,Berkeley,CA,1407 Hearst Ave,94702,4,2,"1,652sqft","5,000sqft lot","$1,750,000 ",Single Family,23 Days,,"$1,059 ",1 car,1924,"$1,095,000 ","$1,237,500 ",34,$860 ,Berkeley Unified,-
/realestateandhomes-detail/2550-Dana-St-Apt-6F_Berkeley_CA_94704_M27054-25942,Berkeley,CA,2550 Dana St Apt 6F,94704,1,1,700sqft,0.25acre lot,"$399,000 ",Condo,24 Days,$620/mo,$570 ,1 car,1962,"$1,048,000 ","$1,285,000 ",49,$809 ,-,Better Homes and Gardens Real Estate Highland Partners
/realestateandhomes-detail/3018-Deakin-St_Berkeley_CA_94705_M25817-77544,Berkeley,CA,3018 Deakin St,94705,8,4,"2,082sqft","4,168sqft lot","$1,200,000 ",Multi-Family,24 Days,,$576 ,,1911,"$1,048,000 ","$1,285,000 ",49,$809 ,-,-
/realestateandhomes-detail/1128-Cedar-St_Berkeley_CA_94702_M10520-36499,Berkeley,CA,1128 Cedar St,94702,2,2,"2,120sqft","5,250sqft lot","$1,550,000 ",Single Family,24 Days,,$731 ,1 car,1925,"$1,095,000 ","$1,237,500 ",34,$860 ,-,-
/realestateandhomes-detail/1938-Hopkins-St_Berkeley_CA_94707_M11642-81518,Berkeley,CA,1938 Hopkins St,94707,2,2,"1,180sqft",-,"$1,095,000 ",Single Family,10 Days,,$928 ,1 car,1924,"$1,350,000 ",,,$893 ,-,-
/realestateandhomes-detail/1230-Neilson-St_Berkeley_CA_94706_M10438-75257,Berkeley,CA,1230 Neilson St,94706,2,2,"1,238sqft","3,800sqft lot","$1,149,000 ",Single Family,11 Days,,$928 ,,1925,"$1,095,000 ","$1,237,500 ",34,$860 ,-,-
/realestateandhomes-detail/2550-Dana-St-Apt-3H_Berkeley_CA_94704_M27011-77624,Berkeley,CA,2550 Dana St Apt 3H,94704,Studio,1,500sqft,0.25acre lot,"$298,000 ",Townhome,11 Days,$349/mo,$596 ,,1962,"$1,048,000 ","$1,285,000 ",49,$809 ,-,-
/realestateandhomes-detail/7112-Westmoorland-Dr_Berkeley_CA_94705_M22090-06322,Berkeley,CA,7112 Westmoorland Dr,94705,4,3.5,"4,070sqft","5,750sqft lot","$1,998,000 ",Single Family,28 Days,,$491 ,2 cars,2002,"$1,495,000 ","$1,550,000 ",42,$691 ,-,-
/realestateandhomes-detail/2535-Chilton-Way_Berkeley_CA_94704_M27207-79510,Berkeley,CA,2535 Chilton Way,94704,4,2,"1,744sqft","2,589sqft lot","$1,360,000 ",Single Family,29 Days,,$780 ,,1906,"$1,048,000 ","$1,285,000 ",49,$809 ,-,-
/realestateandhomes-detail/3025-Deakin-St_Berkeley_CA_94705_M25317-29384,Berkeley,CA,3025 Deakin St,94705,6,2,"2,353sqft","3,255sqft lot","$1,695,000 ",Single Family,29 Days,,$720 ,,1907,"$1,048,000 ","$1,285,000 ",49,$809 ,-,Red Oak Realty
/realestateandhomes-detail/75-Maryland-Ave_Berkeley_CA_94707_M12809-61184,Berkeley,CA,75 Maryland Ave,94707,3,2,"1,747sqft","5,000sqft lot","$1,450,000 ",Single Family,31 Days,,$830 ,2 cars,1937,"$1,525,000 ","$2,010,000 ",38,$670 ,-,-
/realestateandhomes-detail/2710-Cedar-St_Berkeley_CA_94708_M29295-80586,Berkeley,CA,2710 Cedar St,94708,4,3,"3,119sqft","7,936sqft lot","$2,895,000 ",Single Family,31 Days,,$928 ,2 cars,1956,"$948,500 ","$965,000 ",41,$975 ,Berkeley (510) 644-6150,-
/realestateandhomes-detail/2741-Mathews-St_Berkeley_CA_94702_M26705-07754,Berkeley,CA,2741 Mathews St,94702,2,1,973sqft,"3,498sqft lot","$995,000 ",Single Family,31 Days,,"$1,023 ",1 car,1924,"$1,095,000 ","$1,237,500 ",34,$860 ,Alameda,-
/realestateandhomes-detail/2128-Sacramento-St_Berkeley_CA_94702_M28023-91924,Berkeley,CA,2128 Sacramento St,94702,3,1.5,"1,344sqft","5,998sqft lot","$980,000 ",Single Family,31 Days,,$729 ,2 cars,1930,"$1,095,000 ","$1,237,500 ",34,$860 ,Alameda,-
/realestateandhomes-detail/1479-Olympus-Ave_Berkeley_CA_94708_M99341-65115,Berkeley,CA,1479 Olympus Ave,94708,3,2,"1,680sqft","5,574sqft lot","$1,680,000 ",Single Family,32 Days,,"$1,000 ",2 cars,1952,"$1,300,000 ","$1,915,000 ",27,$804 ,-,Coldwell Banker Realty
/realestateandhomes-detail/2209-5th-St-A_Berkeley_CA_94710_M99130-51363,Berkeley,CA,2209 Fifth St Unit A,94710,2,2,"1,448sqft","7,619sqft lot","$1,195,000 ",Condo,15 Days,$965/mo,$825 ,1 car,2005,"$1,095,000 ","$1,237,500 ",34,$860 ,Berkeley (510) 644-6150,-
/realestateandhomes-detail/1728-Beverly-Pl_Berkeley_CA_94707_M11028-67244,Berkeley,CA,1728 Beverly Pl,94707,2,1,"1,218sqft","4,620sqft lot","$1,195,000 ",Single Family,15 Days,,$981 ,,1925,"$1,350,000 ",,,$893 ,Berkeley (510) 644-6150,-
/realestateandhomes-detail/2304-Sacramento-St_Berkeley_CA_94702_M28073-48295,Berkeley,CA,2304 Sacramento St,94702,1,1,865sqft,"3,550sqft lot","$698,000 ",Single Family,34 Days,,$807 ,,1925,"$1,095,000 ","$1,237,500 ",34,$860 ,-,-
/realestateandhomes-detail/2018-9th-St-Apt-C_Berkeley_CA_94710_M28180-06354,Berkeley,CA,2018 9th St Apt C,94710,2,1,744sqft,0.3acre lot,"$588,000 ",Condo,36 Days,$564/mo,$790 ,,1986,"$1,095,000 ","$1,237,500 ",34,$860 ,Berkeley (510) 644-6150,-
/realestateandhomes-detail/2215-Parker-St_Berkeley_CA_94704_M13961-19488,Berkeley,CA,2215 Parker St,94704,-,-,-,"6,750sqft lot","$800,000 ",Land,10 Days,,,,,"$1,048,000 ","$1,285,000 ",49,$809 ,-,-
/realestateandhomes-detail/808-Allston-Way_Berkeley_CA_94710_M28082-42677,Berkeley,CA,808 Allston Way,94710,4,1.5,"1,226sqft","4,500sqft lot","$899,000 ",Single Family,16 Days,,$733 ,1 car,1890,"$1,095,000 ","$1,237,500 ",34,$860 ,-,Bay Area Dream Homes
/realestateandhomes-detail/2410-Stuart-St_Berkeley_CA_94705_M97095-87875,Berkeley,CA,2410 Stuart St,94705,4,4,"2,700sqft","5,442sqft lot","$1,295,000 ",Multi-Family,38 Days,,$480 ,4 cars,1962,"$1,495,000 ","$1,550,000 ",42,$691 ,-,-
/realestateandhomes-detail/725-Peralta-Ave_Berkeley_CA_94707_M12118-32860,Berkeley,CA,725 Peralta Ave,94707,2,1,854sqft,"3,500sqft lot","$735,000 ",Single Family,17 Days,,$861 ,1 car,1922,"$1,095,000 ","$1,495,000 ",37,$862 ,Berkeley (510) 644-6150,-
/realestateandhomes-detail/937-Grayson-St_Berkeley_CA_94710_M26737-87157,Berkeley,CA,937 Grayson St,94710,1,1,743sqft,"3,000sqft lot","$895,000 ",Single Family,17 Days,,"$1,205 ",,1908,"$1,095,000 ","$1,237,500 ",34,$860 ,-,-
/realestateandhomes-detail/2821-Regent-St_Berkeley_CA_94705_M92298-97401,Berkeley,CA,2821 Regent St,94705,5,3.5,"4,360sqft","7,400sqft lot","$2,995,000 ",Single Family,17 Days,,$687 ,,1918,"$1,495,000 ","$1,550,000 ",42,$691 ,-,Golden Gate Sotheby's International Realty
/realestateandhomes-detail/1241-Cedar-St_Berkeley_CA_94702_M10306-08582,Berkeley,CA,1241 Cedar St,94702,2,1,-,"3,200sqft lot","$1,089,000 ",Single Family,17 Days,,,1 car,1945,"$1,095,000 ","$1,237,500 ",34,$860 ,Berkeley (510) 644-6150,COMPASS
/realestateandhomes-detail/1623-Russell-St_Berkeley_CA_94703_M97533-58748,Berkeley,CA,1623 Russell St,94703,7,7,"2,576sqft","4,655sqft lot","$2,288,000 ",Single Family,38 Days,,$888 ,,1932,"$1,048,000 ","$1,285,000 ",49,$809 ,Berkeley (510) 644-6150,-
/realestateandhomes-detail/1934-Stuart-St_Berkeley_CA_94703_M26169-19328,Berkeley,CA,1934 Stuart St,94703,5,-,"3,295sqft","5,188sqft lot","$1,998,000 ",Multi-Family,38 Days,,$606 ,,1890,"$1,048,000 ","$1,285,000 ",49,$809 ,-,Vanguard Properties
/realestateandhomes-detail/1154-Spruce-St_Berkeley_CA_94707_M11696-47813,Berkeley,CA,1154 Spruce St,94707,3,2,"1,659sqft","5,400sqft lot","$1,000,000 ",Single Family,18 Days,,$603 ,,1926,"$1,350,000 ",,,$893 ,Berkeley (510) 644-6150,BERKELEY HILLS REALTY
